"","NBName","NBID","Pop","MedHHInc","AHcount","FFcount","GScount"
"1","Athmar Park",1,8881,41956,0,10,5
"2","Auraria",2,710,82813,0,15,0
"3","Baker",3,5644,41595,4,13,4
"4","Barnum",4,6310,39173,0,2,2
"5","Barnum West",5,5409,48400,1,2,1
"6","Bear Valley",6,9761,57485,0,4,1
"7","Belcaro",7,4638,126083,0,5,1
"8","Berkeley",8,8423,63756.5,2,11,1
"9","Capitol Hill",9,15382,40067.67,9,21,2
"10","CBD",10,3553,53707,6,54,3
"11","Chaffee Park",11,3966,50750,1,5,4
"12","Cheesman Park",12,8181,50119.5,3,8,1
"13","Cherry Creek",13,5988,89840,2,12,3
"14","City Park",14,2864,60500,2,12,1
"15","City Park West",15,4414,43843,13,8,0
"16","Civic Center",16,1880,68459,3,4,0
"17","Clayton",17,4513,40417,1,2,1
"18","Cole",18,4859,38012,7,2,4
"19","College View - South Platte",19,6375,26480,2,18,4
"20","Congress Park",20,10538,69023.33,5,8,1
"21","Cory - Merrill",21,4664,93482,0,4,2
"22","Country Club",22,3089,129706,0,1,0
"23","DIA",23,1241,47936,0,41,0
"24","East Colfax",24,11256,42384,3,10,2
"25","Elyria Swansea",25,6627,33972,0,6,2
"26","Five Points",26,14321,52055.33,29,7,2
"27","Fort Logan",27,8768,66049.33,3,0,0
"28","Gateway - Green Valley Ranch",28,33432,69053.25,1,37,3
"29","Globeville",29,3443,26731,3,9,1
"30","Goldsmith",30,5154,28613,2,5,2
"31","Hale",31,6855,64588,0,8,2
"32","Hampden",32,17725,44706.5,1,25,2
"33","Hampden South",33,14284,66713,3,31,4
"34","Harvey Park",34,12399,46860,1,8,3
"35","Harvey Park South",35,8977,51203.5,3,9,2
"36","Highland",36,8403,63556.5,6,5,2
"37","Hilltop",37,9085,119570.5,0,4,1
"38","Indian Creek",38,3298,56332,0,0,0
"39","Jefferson Park",39,2569,45026,2,0,1
"40","Kennedy",40,4502,29847,0,0,0
"41","Lincoln Park",41,5749,27269,12,15,1
"42","Lowry Field",42,8202,76029,3,11,1
"43","Mar Lee",43,13391,43032.5,1,5,5
"44","Marston",44,10946,58935.5,0,1,0
"45","Montbello",45,33282,44183.17,2,23,2
"46","Montclair",46,5956,78359,2,4,2
"47","North Capitol Hill",47,5600,48513,9,8,1
"48","North Park Hill",48,9969,73417.5,0,0,2
"49","Northeast Park Hill",49,8835,38351.5,3,12,1
"50","Overland",50,3010,51063,1,7,0
"51","Platt Park",51,5527,80081,0,2,0
"52","Regis",52,4364,52132,1,10,1
"53","Rosedale",53,2496,65000,1,7,0
"54","Ruby Hill",54,10321,31980,7,0,3
"55","Skyland",55,2983,61375,2,4,1
"56","Sloan Lake",56,7625,66592.5,4,2,0
"57","South Park Hill",57,8919,105083.5,2,10,1
"58","Southmoor Park",58,4638,69664.5,0,1,1
"59","Speer",59,11670,54158.33,2,22,3
"60","Stapleton",60,16307,116434.5,3,34,4
"61","Sun Valley",61,1433,9363,2,1,2
"62","Sunnyside",62,10427,48148.67,5,10,1
"63","Union Station",63,4695,83654,5,23,1
"64","University",64,9425,42860,0,11,2
"65","University Hills",65,5828,55787.5,2,11,3
"66","University Park",66,7738,48185.5,1,15,1
"67","Valverde",67,3649,26810,1,8,0
"68","Villa Park",68,8884,31054,4,1,3
"69","Virginia Village",69,13796,54320.75,1,11,2
"70","Washington Park",70,7087,94470,0,3,1
"71","Washington Park West",71,6999,77925.5,2,2,2
"72","Washington Virginia Vale",72,13346,45045.67,2,14,7
"73","Wellshire",73,3388,102981,0,1,0
"74","West Colfax",74,9277,25798.5,7,12,1
"75","West Highland",75,8818,80789,3,7,2
"76","Westwood",76,16884,29431,9,10,7
"77","Whittier",77,6539,59182,6,4,0
"78","Windsor",78,13393,38007,0,3,0
